2095,Sacerdote Negro Leão Branco,2713,2903,3548,1,512
2142,Roda Sangrenta da Ruína,4069,3046,3483,1,515
2122,Alquimista Sedin,11352,3043,3568,1,521
2126,Toupeira Cruel,3052,2971,3495,1,513
2131,Kurzac,5086,2979,3467,1,514
2099,Guarda Veterano Leão Branco,3391,2918,3558,1,510
2098,Guarda Veterano Leão Branco,3391,2915,3561,1,510
2113,Guarda Veterano Leão Branco,3391,2971,3550,1,510
2081,Mago Negro Leão Branco,2598,2871,3499,1,509
2050,Soldado de Assalto Leão Branco,3247,2879,3541,1,507
2087,Guarda Veterano Leão Branco,3391,2887,3553,1,510
2063,Mago Negro Leão Branco,2598,2875,3406,1,509
2166,Roda Sangrenta da Ruína,4069,3041,3375,1,515
2096,Franco-Atirador Leão Branco,3052,2901,3557,1,511
2187,Ulman Super Físico,4656,2919,3374,1,518
2079,Mago Negro Leão Branco,2598,2883,3468,1,509
2067,Mosqueteiro Leão Branco,2922,2878,3447,1,508
2080,Mosqueteiro Leão Branco,2922,2883,3466,1,508
2086,Soldado de Assalto Leão Branco,3247,2881,3490,1,507
2084,Mago Negro Leão Branco,2598,2882,3492,1,509
2139,Kurzac,5086,2977,3500,1,514
2186,Ulman Super Físico,4656,2917,3374,1,518
2159,Roda Sangrenta da Ruína,4069,3051,3403,1,515
2170,Ulman Corrupto,3725,2984,3376,1,517
2065,Mosqueteiro Leão Branco,2922,2873,3431,1,508
2143,Akba do Desespero,3560,3061,3477,1,516
2149,Akba do Desespero,3560,3059,3449,1,516
2112,Sacerdote Negro Leão Branco,2713,2971,3554,1,512
2174,Ulman Corrupto,3725,2986,3396,1,517
2176,Ulman Corrupto,3725,2964,3379,1,517
2118,Franco-Atirador Leão Branco,3052,3065,3520,1,511
2116,Franco-Atirador Leão Branco,3052,3012,3570,1,511
2089,Franco-Atirador Leão Branco,3052,2896,3553,1,511
2074,Soldado de Assalto Leão Branco,3247,2869,3484,1,507
2109,Guarda Veterano Leão Branco,3391,2958,3551,1,510
2128,Toupeira Cruel,3052,2969,3475,1,513
2069,Mosqueteiro Leão Branco,2922,2872,3459,1,508
2132,Kurzac,5086,2981,3468,1,514
2184,Ulman Super Físico,4656,2943,3387,1,518
2161,Roda Sangrenta da Ruína,4069,3042,3392,1,515
2058,Soldado de Assalto Leão Branco,3247,2838,3405,1,507
2167,Roda Sangrenta da Ruína,4069,3043,3373,1,515
2140,Akba do Desespero,3560,3048,3485,1,516
2191,Ulman Super Físico,4656,2919,3397,1,518
2146,Roda Sangrenta da Ruína,4069,3061,3459,1,515
2158,Roda Sangrenta da Ruína,4069,3048,3401,1,515
2157,Roda Sangrenta da Ruína,4069,3051,3400,1,515
2090,Franco-Atirador Leão Branco,3052,2896,3551,1,511
2110,Franco-Atirador Leão Branco,3052,2970,3557,1,511
2125,Toupeira Cruel,3052,2953,3476,1,513
2054,Mago Negro Leão Branco,2598,2838,3524,1,509
2148,Akba do Desespero,3560,3056,3451,1,516
2073,Soldado de Assalto Leão Branco,3247,2877,3515,1,507
2115,Guarda Veterano Leão Branco,3391,2974,3551,1,510
2114,Guarda Veterano Leão Branco,3391,2974,3553,1,510
2104,Guarda Veterano Leão Branco,3391,2928,3558,1,510
2178,Ulman Corrupto,3725,2962,3376,1,517
2100,Sacerdote Negro Leão Branco,2713,2916,3559,1,512
2177,Ulman Corrupto,3725,2960,3379,1,517
2060,Soldado de Assalto Leão Branco,3247,2872,3407,1,507
2105,Guarda Veterano Leão Branco,3391,2931,3557,1,510
2156,Roda Sangrenta da Ruína,4069,3036,3424,1,515
2075,Soldado de Assalto Leão Branco,3247,2869,3483,1,507
2083,Mosqueteiro Leão Branco,2922,2872,3497,1,508
2155,Akba do Desespero,3560,3034,3423,1,516
2068,Mosqueteiro Leão Branco,2922,2880,3459,1,508
2062,Soldado de Assalto Leão Branco,3247,2877,3411,1,507
2144,Akba do Desespero,3560,3054,3471,1,516
2181,Ulman Corrupto,3725,2962,3397,1,517
2183,Ulman Super Físico,4656,2983,3387,1,518
2088,Guarda Veterano Leão Branco,3391,2887,3551,1,510
2130,Toupeira Cruel,3052,2984,3473,1,513
2078,Soldado de Assalto Leão Branco,3247,2881,3467,1,507
2137,Kurzac,5086,2962,3501,1,514
2066,Mosqueteiro Leão Branco,2922,2878,3445,1,508
2071,Soldado de Assalto Leão Branco,3247,2877,3460,1,507
2082,Soldado de Assalto Leão Branco,3247,2870,3496,1,507
2121,Cavaleiro Santo Lorik,12988,3042,3570,1,519
2136,Kurzac,5086,2964,3500,1,514
2124,Steuer RX18,17030,2998,3484,1,524
2101,Guarda Veterano Leão Branco,3391,2925,3547,1,510
2070,Soldado de Assalto Leão Branco,3247,2875,3460,1,507
2106,Franco-Atirador Leão Branco,3052,2957,3557,1,511
2141,Akba do Desespero,3560,3048,3481,1,516
2072,Soldado de Assalto Leão Branco,3247,2874,3515,1,507
2102,Sacerdote Negro Leão Branco,2713,2927,3548,1,512
2123,Sentinela Vilander,12772,3043,3572,1,520
2129,Toupeira Cruel,3052,2985,3494,1,513
2160,Roda Sangrenta da Ruína,4069,3040,3407,1,515
2179,Ulman Corrupto,3725,2964,3394,1,517
2077,Soldado de Assalto Leão Branco,3247,2879,3470,1,507
2168,Macanga,14901,3030,3374,1,525
2173,Ulman Corrupto,3725,2982,3396,1,517
2111,Franco-Atirador Leão Branco,3052,2970,3547,1,511
2119,Franco-Atirador Leão Branco,3052,3066,3523,1,511
2108,Guarda Veterano Leão Branco,3391,2958,3554,1,510
2171,Ulman Corrupto,3725,2982,3379,1,517
2165,Roda Sangrenta da Ruína,4069,3039,3377,1,515
2051,Soldado de Assalto Leão Branco,3247,2861,3533,1,507
2175,Ulman Corrupto,3725,2984,3398,1,517
2127,Toupeira Cruel,3052,2957,3492,1,513
2057,Soldado de Assalto Leão Branco,3247,2839,3412,1,507
2061,Soldado de Assalto Leão Branco,3247,2874,3411,1,507
2151,Roda Sangrenta da Ruína,4069,3056,3444,1,515
2152,Akba do Desespero,3560,3055,3436,1,516
2064,Mosqueteiro Leão Branco,2922,2873,3429,1,508
2138,Kurzac,5086,2979,3501,1,514
2185,Ulman Super Físico,4656,2943,3384,1,518
2192,Guarda-Costas do Malik,23423,2907,3387,1,526
2190,Ulman Super Físico,4656,2917,3397,1,518
2189,Ulman Super Físico,4656,2917,3400,1,518
2052,Mago Negro Leão Branco,2598,2861,3535,1,509
2053,Mago Negro Leão Branco,2598,2841,3532,1,509
2172,Ulman Corrupto,3725,2986,3379,1,517
2154,Akba do Desespero,3560,3037,3422,1,516
2135,Kurzac,5086,2957,3473,1,514
2153,Akba do Desespero,3560,3035,3440,1,516
2103,Sacerdote Negro Leão Branco,2713,2930,3559,1,512
2076,Soldado de Assalto Leão Branco,3247,2881,3471,1,507
2147,Roda Sangrenta da Ruína,4069,3059,3452,1,515
2145,Roda Sangrenta da Ruína,4069,3059,3459,1,515
2085,Mosqueteiro Leão Branco,2922,2883,3489,1,508
2093,Guarda Veterano Leão Branco,3391,2901,3547,1,510
2094,Guarda Veterano Leão Branco,3391,2903,3546,1,510
2056,Soldado de Assalto Leão Branco,3247,2837,3412,1,507
2150,Roda Sangrenta da Ruína,4069,3056,3447,1,515
2180,Ulman Corrupto,3725,2960,3394,1,517
2097,Franco-Atirador Leão Branco,3052,2902,3556,1,511
2163,Roda Sangrenta da Ruína,4069,3054,3379,1,515
2162,Roda Sangrenta da Ruína,4069,3032,3381,1,515
2091,Franco-Atirador Leão Branco,3052,2911,3544,1,511
2120,Jahn Krauss,14192,3026,3542,1,523
2133,Kurzac,5086,2966,3469,1,514
2059,Soldado de Assalto Leão Branco,3247,2838,3403,1,507
2107,Franco-Atirador Leão Branco,3052,2957,3548,1,511
2049,Soldado de Assalto Leão Branco,3247,2873,3541,1,507
2092,Franco-Atirador Leão Branco,3052,2913,3544,1,511
