289,Explorador do Clã Dread,235,0,1430,1572,45,28,8,119,119,64512,0,0,0,0,0,0,91
290,Saqueador do Clã Dread,235,0,0,1415,270,28,8,119,119,64512,0,0,0,0,0,0,91
291,Guarda-Costas do Clã Dread,235,0,1431,1655,33,29,8,119,119,64512,0,0,0,0,0,0,91
345,Patrulheiro Esqueleto,282,0,1506,607,0,1316,7,119,119,65029,0,0,0,0,0,0,91
346,Arquimago Esqueleto,277,0,1457,540,0,1316,7,119,119,65029,0,0,0,0,0,0,91
347,Soldado de Assalto Esqueleto,277,0,1455,5250,180,1316,7,119,119,65029,0,0,0,0,0,0,91
348,Arqueiro Esqueleto,282,0,1506,4725,45,1316,7,119,119,65029,0,0,0,0,0,0,91
349,Mago de Combate Esqueleto,277,0,1457,4201,180,1316,7,119,119,65029,0,0,0,0,0,0,91
350,Protetor Zal-Naga,275,0,1453,5286,180,1317,10,119,119,1024,0,0,0,0,0,0,92
351,Feiticeiro Zal-Naga,279,0,1454,4229,180,1317,9,119,119,1024,0,0,0,0,0,0,92
352,Curandeiro Zal-Naga,279,0,1454,4229,180,1317,9,119,119,1024,0,0,0,0,0,0,92
353,Espectro da Escuridão,277,0,1457,4659,270,1318,7,119,119,65029,0,0,0,0,0,0,91
354,Espectro da Morte,277,0,1457,4899,90,1319,7,119,119,65029,0,0,0,0,0,0,91
355,Cavaleiro da Morte Guerreiro,284,0,1456,6443,0,1320,8,119,119,65029,0,0,0,0,0,0,91
356,El-Kain,276,0,1454,23330,270,295,17,119,119,65024,0,0,0,0,0,0,93
357,Agnon,284,0,1456,33647,20,297,11,119,119,65029,0,0,0,0,0,0,93
358,Gressil,281,0,0,45055,0,298,14,119,119,1028,0,0,0,0,0,0,93
